CountryCode,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LBY,Libya,,,,,,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,21.0,15.0,18.0
LCA,Saint Lucia,,,,,,,,,,6.8,7.1,7.0,,7.02,71.0,71.0,
LKA,Sri Lanka,,,,,3.7,3.4,3.5,3.2,3.1,3.2,3.2,3.1,3.2,3.3,40.0,37.0,38.0
LSO,Lesotho,,,,,,,,3.4,3.2,3.3,3.2,3.3,3.5,3.52,45.0,49.0,49.0
LTU,Lithuania,,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5.0,4.75,54.0,57.0,58.0
LUX,Luxembourg,8.7,8.8,8.6,8.7,9.0,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,80.0,80.0,82.0
LVA,Latvia,2.7,3.4,3.4,3.4,3.7,3.8,4.0,4.2,4.7,4.8,5.0,4.5,4.3,4.19,49.0,53.0,55.0
MAC,Macao,,,,,,,,,6.6,5.7,5.4,5.3,5.0,5.11,,,
MAR,Morocco,3.7,4.1,4.7,,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,37.0,37.0,39.0
MDA,"Moldova, Republic of",,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,2.8,2.9,3.3,2.9,2.88,36.0,35.0,35.0
MDG,Madagascar,,,,,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3.0,2.6,3.04,32.0,28.0,28.0
MDV,Maldives,,,,,,,,,,3.3,2.8,2.5,2.3,2.47,,,
MEX,Mexico,3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,34.0,34.0,35.0
MKD,"Macedonia, the former Yugoslav Republic of",,3.3,,,,2.3,2.7,2.7,2.7,3.3,3.6,3.8,4.1,3.94,43.0,44.0,45.0
MLI,Mali,,,,,,3.0,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,34.0,28.0,32.0
MLT,Malta,,,,,,,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,57.0,56.0,55.0
MMR,Myanmar,,,,,,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,15.0,21.0,21.0
MNE,Montenegro,,,,,,2.3,2.7,2.8,,3.3,3.4,3.9,3.7,3.97,41.0,44.0,42.0
MNG,Mongolia,,4.3,,,,,3.0,3.0,2.8,3.0,3.0,2.7,2.7,2.68,36.0,38.0,39.0
MOZ,Mozambique,,3.5,2.2,,,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,31.0,30.0,31.0
MRT,Mauritania,,,,,,,,,3.1,2.6,2.8,2.5,2.3,2.43,31.0,30.0,30.0
MUS,Mauritius,5,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,57.0,52.0,54.0
MWI,Malawi,4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3.0,37.0,37.0,33.0
MYS,Malaysia,5.3,5.1,4.8,5.0,4.9,5.2,5.0,5.1,5.0,5.1,5.1,4.5,4.4,4.31,49.0,50.0,52.0
NAM,Namibia,5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,48.0,48.0,49.0
NER,Niger,,,,,,,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,33.0,34.0,35.0
NGA,Nigeria,1.9,1.6,1.2,1.0,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,27.0,25.0,27.0
NIC,Nicaragua,3,3.1,,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,29.0,28.0,28.0
NLD,Netherlands,9,9.0,8.9,8.8,9.0,8.9,8.7,8.6,8.7,9.0,8.9,8.9,8.8,8.89,84.0,83.0,83.0
NOR,Norway,9,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,85.0,86.0,86.0
NPL,Nepal,,,,,,,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,27.0,31.0,29.0
NZL,New Zealand,9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,90.0,91.0,91.0
OMN,Oman,,,,,,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,47.0,47.0,45.0
PAK,Pakistan,2.7,2.2,,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,27.0,28.0,29.0
PAN,Panama,,,,3.7,3.0,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,38.0,35.0,37.0
PER,Peru,4.5,4.5,4.4,4.1,4.0,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,38.0,38.0,38.0
PHL,Philippines,3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,34.0,36.0,38.0
PNG,Papua New Guinea,,,,,,2.1,2.6,2.3,2.4,2.0,2.0,2.1,2.1,2.17,25.0,25.0,25.0
POL,Poland,4.6,4.2,4.1,4.1,4.0,3.6,3.5,3.4,3.7,4.2,4.6,5.0,5.3,5.48,58.0,60.0,61.0
PRK,"Korea, Democratic People's Republic of",,,,,,,,,,,,,,1.01,8.0,8.0,8.0
PRT,Portugal,6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6.0,6.1,63.0,62.0,63.0
PRY,Paraguay,1.5,2.0,,,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,25.0,24.0,24.0
QAT,Qatar,,,,,,5.6,5.2,5.9,6.0,6.0,6.5,7.0,7.7,7.16,68.0,68.0,69.0
ROU,Romania,3,3.3,2.9,2.8,2.6,2.8,2.9,3.0,3.1,3.7,3.8,3.8,3.7,3.61,44.0,43.0,43.0
RUS,Russian Federation,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28.0,28.0,27.0
RWA,Rwanda,,,,,,,,3.1,2.5,2.8,3.0,3.3,4.0,4.98,53.0,53.0,49.0
SAU,Saudi Arabia,,,,,,4.5,3.4,3.4,3.3,3.4,3.5,4.3,4.7,4.39,44.0,46.0,49.0
SDN,Sudan,,,,,,2.3,2.2,2.1,2.0,1.8,1.6,1.5,1.6,1.56,13.0,11.0,11.0
SEN,Senegal,3.3,3.4,3.5,2.9,3.1,3.2,3.0,3.2,3.3,3.6,3.4,3.0,2.9,2.87,36.0,41.0,43.0
SGP,Singapore,9.1,9.1,9.1,9.2,9.3,9.4,9.3,9.4,9.4,9.3,9.2,9.2,9.3,9.17,87.0,86.0,84.0
SLB,Solomon Islands,,,,,,,,,,2.8,2.9,2.8,2.8,2.71,,,
SLE,Sierra Leone,,,,,,2.2,2.3,2.4,2.2,2.1,1.9,2.2,2.4,2.46,31.0,30.0,31.0
SLV,El Salvador,3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4.0,4.0,3.9,3.4,3.6,3.42,38.0,38.0,39.0
SOM,Somalia,,,,,,,,2.1,,1.4,1.0,1.1,1.1,0.98,8.0,8.0,8.0
SRB,Serbia,,,,,,2.3,2.7,2.8,3.0,3.4,3.4,3.5,3.5,3.31,39.0,42.0,41.0
SSD,South Sudan,,,,,,,,,,,,,,,,14.0,15.0
STP,Sao Tome and Principe,,,,,,,,,,2.7,2.7,2.8,3.0,2.99,42.0,42.0,42.0
SUR,Suriname,,,,,,,4.3,3.2,3.0,3.5,3.6,3.7,,3.03,37.0,36.0,36.0
SVK,Slovakia,3.9,3.7,3.5,3.7,3.7,3.7,4.0,4.3,4.7,4.9,5.0,4.5,4.3,3.97,46.0,47.0,50.0
SVN,Slovenia,,6.0,5.5,5.2,6.0,5.9,6.0,6.1,6.4,6.6,6.7,6.6,6.4,5.87,61.0,57.0,58.0
SWE,Sweden,9.5,9.4,9.4,9.0,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.3,88.0,89.0,87.0
SWZ,Swaziland,,,,,,,,2.7,2.5,3.3,3.6,3.6,3.2,3.08,37.0,39.0,43.0
SYC,Seychelles,,,,,,,4.4,4.0,3.6,4.5,4.8,4.8,4.8,4.82,52.0,54.0,55.0
SYR,Syrian Arab Republic,,,,,,3.4,3.4,3.4,2.9,2.4,2.1,2.6,2.5,2.56,26.0,17.0,20.0
TCD,Chad,,,,,,,1.7,1.7,2.0,1.8,1.6,1.6,1.7,2.04,19.0,19.0,22.0
TGO,Togo,,,,,,,,,2.4,2.3,2.7,2.8,2.4,2.38,30.0,29.0,29.0
THA,Thailand,3,3.2,3.2,3.2,3.2,3.3,3.6,3.8,3.6,3.3,3.5,3.4,3.5,3.38,37.0,35.0,38.0
TJK,Tajikistan,,,,,,1.8,2.0,2.1,2.2,2.1,2.0,2.0,2.1,2.27,22.0,22.0,23.0
TKM,Turkmenistan,,,,,,,2.0,1.8,2.2,2.0,1.8,1.8,1.6,1.6,17.0,17.0,17.0
TLS,Timor-Leste,,,,,,,,,2.6,2.6,2.2,2.2,2.5,2.38,33.0,30.0,28.0
TON,Tonga,,,,,,,,,,1.7,2.4,3.0,3.0,3.14,,,
TTO,Trinidad and Tobago,,,,5.3,4.9,4.6,4.2,3.8,3.2,3.4,3.6,3.6,3.6,3.17,39.0,38.0,38.0
TUN,Tunisia,5,5.0,5.2,5.3,4.8,4.9,5.0,4.9,4.6,4.2,4.4,4.2,4.3,3.76,41.0,41.0,40.0
TUR,Turkey,3.4,3.6,3.8,3.6,3.2,3.1,3.2,3.5,3.8,4.1,4.6,4.4,4.4,4.21,49.0,50.0,45.0
TZA,"Tanzania, United Republic of",,1.9,1.9,2.5,2.2,2.7,2.5,2.8,2.9,2.9,3.2,3.0,2.6,2.7,2.95,35.0,33.0
UGA,Uganda,2.6,2.2,2.3,1.9,2.1,2.2,2.6,2.5,2.7,2.8,2.6,2.5,2.5,2.43,29.0,26.0,26.0
UKR,Ukraine,2.8,2.6,1.5,2.1,2.4,2.3,2.2,2.6,2.8,2.7,2.5,2.2,2.4,2.3,26.0,25.0,26.0
URY,Uruguay,4.3,4.4,,5.1,5.1,5.5,6.2,5.9,6.4,6.7,6.9,6.7,6.9,7.04,72.0,73.0,73.0
USA,United States of America,7.5,7.5,7.8,7.6,7.7,7.5,7.5,7.6,7.3,7.2,7.3,7.5,7.1,7.14,73.0,73.0,74.0
UZB,Uzbekistan,,1.8,2.4,2.7,2.9,2.4,2.3,2.2,2.1,1.7,1.8,1.7,1.6,1.62,17.0,17.0,18.0
VCT,Saint Vincent and the Grenadines,,,,,,,,,,6.1,6.5,6.4,,5.76,62.0,62.0,67.0
VEN,"Venezuela, Bolivarian Republic of",2.3,2.6,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2.0,1.9,1.9,2.0,1.89,19.0,20.0,19.0
VNM,Viet Nam,2.5,2.6,2.5,2.6,2.4,2.4,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.86,31.0,31.0,31.0
VUT,Vanuatu,,,,,,,,,,3.1,2.9,3.2,3.6,3.53,,,
WSM,Samoa,,,,,,,,,,4.5,4.4,4.5,4.1,3.88,,,52.0
YEM,Yemen,,,,,,2.6,2.4,2.7,2.6,2.5,2.3,2.1,2.2,2.08,23.0,18.0,19.0
ZAF,South Africa,5.2,5.0,5.0,4.8,4.8,4.4,4.6,4.5,4.6,5.1,4.9,4.7,4.5,4.08,43.0,42.0,44.0
ZMB,Zambia,3.5,3.5,3.4,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.8,3.0,3.0,3.2,37.0,38.0,38.0
ZWE,Zimbabwe,4.2,4.1,3.0,2.9,2.7,2.3,2.3,2.6,2.4,2.1,1.8,2.2,2.4,2.23,20.0,21.0,21.0
