##,Region,Country,Regulars,Insurgents,Outcome,Start Date,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2006,2007,2011,2012
x,Middle East/North Africa,Iraq,Iraq,AQI/JAM/Kata'ib Hizballah/Baathist Nationalists,Ongoing,1/1/03,,,,,,,,,,,,,,,"3,653",,,,,
x,Middle East/North Africa,Iraq,Iraq,Shiiites and Kurds,Incumbent Won,3/1/91,,,30,,,,,,,,,,,,,,,,,
x,Middle East/North Africa,Iraq,USA/Iraq/Western Europe,Ansar al-Islam,Ongoing,1/1/01,,,,,,,,,,,,,"4,383",,,,,,,
x,Middle East/North Africa,Israel,Israel,Kahane Chai,Ongoing,1/1/90,,"8,401",,,,,,,,,,,,,,,,,,
x,Middle East/North Africa,Israel,Israel,Palestinians (Second Intifada),Incumbent Won,9/28/00,,,,,,,,,,,,"1,594",,,,,,,,
x,Middle East/North Africa,Lebanon,Israel,Hezbollah (Second Lebanon War),Draw,7/12/06,,,,,,,,,,,,,,,,,33,,,
x,Middle East/North Africa,Lebanon,Lebanon,Asbat al-Ansar,Ongoing,1/1/91,,,"8,036",,,,,,,,,,,,,,,,,
x,Middle East/North Africa,Libya,Libya,Libyan Islamic Fighting Group,Ongoing,1/1/95,,,,,,,"6,575",,,,,,,,,,,,,
x,Middle East/North Africa,Libya,Libya,Transitional National Council,Insurgent Won,2/15/11,,,,,,,,,,,,,,,,,,,250,
x,Middle East/North Africa,Morocco,Algeria,GSPC/Al Qaeda in the Islamic Maghreb,Ongoing,1/1/98,,,,,,,,,,"5,479",,,,,,,,,,
x,Middle East/North Africa,Morocco,Morocco,Moroccan Islamic Combatant Group,Ongoing,1/1/90,,"8,401",,,,,,,,,,,,,,,,,,
x,Middle East/North Africa,Saudi Arabia,Saudi Arabia/Yemen,al Qaeda in Saudi Arabia & Islamic Jihad of Yemen/AQAP,Ongoing,1/1/00,,,,,,,,,,,,"4,748",,,,,,,,
x,Middle East/North Africa,Saudi Arabia,Yemen/Saudi Arabia,Houthi Rebels,Ongoing,1/1/04,,,,,,,,,,,,,,,,"3,287",,,,
x,Middle East/North Africa,Syrian Arab Republic,Syrian Arab Republic,Free Syrian Army/Anti-Assad Rebels,Ongoing,1/26/11,,,,,,,,,,,,,,,,,,,731,
x,Middle East/North Africa,Yemen,Saudi Arabia/Yemen,al Qaeda in Saudi Arabia & Islamic Jihad of Yemen/AQAP,Ongoing,1/1/00,,,,,,,,,,,,"4,748",,,,,,,,
x,Middle East/North Africa,Yemen,Yemen,South Yemen,Draw,2/21/94,,,,,,136,,,,,,,,,,,,,,
x,Middle East/North Africa,Yemen,Yemen/KSA,Houthi Rebels,Ongoing,1/1/04,,,,,,,,,,,,,,,,"3,287",,,,
x,North America,Mexico,Mexico,EZLN,Ongoing,1/1/94,,,,,,"6,940",,,,,,,,,,,,,,
x,North America,Mexico,Mexico,Zapatista Army of National Liberation,Ongoing,1/1/94,,,,,,"6,940",,,,,,,,,,,,,,
x,North America,United States of America,United States of America,Patriot Movement,Incumbent Won,8/1/92,,,,"3,195",,,,,,,,,,,,,,,,
