countrycode,countryname,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
LDC,Least developed countries: UN classification,50.1336903797293,50.145389102756994,50.1577315179953,50.1697325595631,50.1800745902751,50.187979905201,50.193246544786504,50.196526582558,50.1989304393849,50.201870952996295,50.20623641433461,50.2119452829665,50.2185157874975,50.2258240903117,50.2336484106987,50.2416387743952,50.2502445229957,50.25903228046271,50.265890248564396,50.26826866803122,50.26480033860479,50.2545797662557,50.2390110160392,50.22169376616321,50.20717238513921,50.198142483902394,50.19592883476111,50.198705712244795,50.2023493769903,50.20157560920771,50.1933391154618,50.176648649027605,50.1539548992563,50.12973691832249,50.109623791027296,50.097030038068894,50.093035623931705,50.0956614105716,50.1015271289624,50.10619202780911,50.106931057970286,50.102639378803204,50.09494610042751,50.0870641263976,50.0831605601649,50.0856332349586,50.0952196461401,50.109904202184296,50.125986716008214,50.13872651189,50.1451241932299,50.144464115092106,50.1383650860499,50.12884019939121,50.11866307516279
LIC,Low income,50.7928251947139,50.785261569617504,50.778825743636204,50.77276792192799,50.766018877792796,50.7578869757366,50.74864110333421,50.7387169061447,50.7279087222804,50.715986129948995,50.70298550385,50.6884175966387,50.6728426484517,50.6584123664291,50.647758905581206,50.6423208745802,50.6428430884984,50.647948418092795,50.6544543459489,50.658295928892095,50.6569401741022,50.64916916064429,50.6363741799994,50.6217174266586,50.609362122867786,50.6017298624704,50.6000678455163,50.602451131344004,50.6044956442978,50.6006545116074,50.587781856050796,50.5647903372256,50.53436810740379,50.50160257719211,50.47283943149321,50.4519111544207,50.439950179245606,50.434719209672394,50.4325417036051,50.4286149212045,50.4199899444756,50.40580522368651,50.387802759533,50.3687739585845,50.352336410755996,50.340635061096286,50.3341776239939,50.331456611335,50.3301454831841,50.3272565029407,50.320913581818296,50.3108002814069,50.2978786628111,50.2831925809517,50.268153711016105
LKA,Sri Lanka,47.4957185465249,47.63912689870621,47.7737240008142,47.8988416269256,48.013266683734294,48.116473888224,48.208400481189784,48.2904577907433,48.365338054914,48.436423652855396,48.5060051685314,48.575468485927296,48.6442385734063,48.7102792765718,48.7706539424582,48.82357431199061,48.8690066299833,48.9085662815592,48.944175165595205,48.978355973575496,49.0130855710235,49.04855835717589,49.0848927842552,49.1236972800167,49.1667497265293,49.2150067462772,49.2693037639405,49.3288002060425,49.3907748804288,49.451679062120114,49.5092585652482,49.5633884092379,49.6154080931955,49.6665657544335,49.718681488437994,49.7734244059833,49.8307782989986,49.89137907819581,49.958171683955705,50.034623503609296,50.12278435423821,50.2228405953286,50.333192277913504,50.451687856896896,50.5755542618588,50.7025102315296,50.8316567897246,50.9621114882666,51.09172621562,51.218083803807104,51.339150645265,51.454736449046,51.564191355323,51.6646339659874,51.752580909512
LMC,Lower middle income,49.28984456971539,49.2757164680675,49.2632749586812,49.2522892501674,49.2416434295155,49.231230648451,49.220908895793286,49.210918934514,49.2014559864785,49.192854324175215,49.1847584564112,49.1782090712611,49.173016831878215,49.16818442835879,49.16425464058521,49.1611226790469,49.158709430535204,49.1568662687813,49.1554547612417,49.15436136076679,49.153424168582404,49.1527846474513,49.1519649651814,49.150763512558896,49.1484326163336,49.1445287888984,49.1390120461462,49.1322284911384,49.1252086226254,49.1192409698571,49.114898762835395,49.1124100594978,49.1116752228326,49.1117390906042,49.1113571283093,49.110356054615295,49.10907911006871,49.10769598264749,49.1060011154566,49.1035938329445,49.1002372670566,49.0958898704111,49.091052311230094,49.086010848133704,49.08090868197501,49.0759280341991,49.0710348891391,49.0663104313599,49.062281914343394,49.059509232452704,49.0580922288192,49.0590547955327,49.0603542587634,49.0633751102138,49.0670236789402
LMY,Low & middle income,49.314909207180214,49.323294092817704,49.326717853088894,49.326341338442795,49.32622221861651,49.3260615315427,49.3252671474078,49.3250628510227,49.3243891411533,49.3226680919141,49.31971559231461,49.3160279209472,49.31231834001571,49.308345653348105,49.30495670941811,49.302640317489214,49.3011919644061,49.300454092035,49.3003946217209,49.3012420532631,49.3032644658188,49.30646222383979,49.310038666851995,49.313755844100505,49.3167317449417,49.317988480695,49.3173088093814,49.31504174422461,49.3119246029581,49.308918207924,49.3061823188536,49.3039676730905,49.3024606186594,49.3015542608901,49.3010620488198,49.30123387031771,49.3026042213081,49.3048942472093,49.3072720535476,49.3086234207857,49.307730673239895,49.3040737232566,49.2985721291235,49.29248962324571,49.2871219760071,49.2831445509058,49.280913022623395,49.2799885362494,49.2801793358562,49.2810602044973,49.28179862561271,49.283093494902,49.2839455177765,49.2848778826295,49.2866580368128
LSO,Lesotho,53.3354004876605,53.432426785246285,53.5391366465966,53.639705145701704,53.7147463660862,53.7523131504815,53.745576504408795,53.702063499256404,53.642106070530005,53.5921796327133,53.5684530729288,53.5775169811034,53.608870611496,53.64101078929321,53.645753525217295,53.6060708908789,53.515482077293704,53.3854881886377,53.237498177107,53.098925142989906,52.985957658044214,52.9064051901478,52.849544847180994,52.7911215238929,52.699603962598886,52.5563134258401,52.357599921343095,52.1180152659705,51.8606352535965,51.6170722882971,51.410924587520505,51.243381043061596,51.110180924618795,51.020485290757,50.9831211546109,51.00038544346521,51.0780400865332,51.20589222926189,51.3517000140533,51.473366126141606,51.5420275020539,51.5474042326725,51.499558734927,51.4152786687017,51.320159285204,51.2326543582969,51.1565726713548,51.08613171232571,51.0191188087987,50.9507825762794,50.8781519417722,50.80188888069061,50.7247982944893,50.6482527395981,50.5739388023025
LTU,Lithuania,53.8998829553292,53.8004810235052,53.6978337824848,53.5957604989392,53.499099441223294,53.41106531394061,53.33211700339361,53.261223033517,53.1980341628506,53.1419080421558,53.0923482799144,53.049225658309496,53.0123895837871,52.981238863268004,52.9550280069465,52.932963898929,52.914704296108,52.8996768499758,52.8866901181616,52.8742971502015,52.8614632045556,52.8486000176435,52.8358397537323,52.8215804659222,52.8039461311009,52.782174686656504,52.755132862838295,52.724820946873294,52.69726607704151,52.6801369597126,52.6787117301299,52.694661119028396,52.7261928888899,52.770457382415294,52.82285357545749,52.879609291859396,52.94051020442161,53.0060318734062,53.0733766885926,53.139094076099994,53.200761937979706,53.2553051918184,53.303076940556096,53.3493245802298,53.402002688375,53.4666081211557,53.546739417503204,53.6394894593151,53.73575766460171,53.8220156371949,53.8881497101192,53.9289967768441,53.9474277439785,53.950860547740895,53.951662062302596
LUX,Luxembourg,50.6115974646043,50.6961901701728,50.738687387747,50.754796730910996,50.7671958480088,50.7923335069844,50.8349352176908,50.8884573842642,50.9428849629725,50.983366166516106,51.0005210894007,50.990287063443795,50.9596995723078,50.9226734985194,50.898089353341504,50.8986281865847,50.9273256058537,50.9782399759305,51.0449265809604,51.1173099663443,51.187219127358205,51.2554176638458,51.322110775736896,51.377357302608004,51.4093959731544,51.4102550124835,51.37497219675471,51.3084814823798,51.22408230580271,51.1405636099844,51.0711470008146,51.0199169157899,50.983392948390396,50.9565103438195,50.9317125171769,50.9038388035713,50.871256038647395,50.8364803535457,50.801963224760996,50.7721488461824,50.748784128665704,50.73239769376511,50.7201467562409,50.7069867052966,50.686326152102794,50.6536026227102,50.610036387381705,50.557293477001494,50.49342478235501,50.416014282922,50.32477568917621,50.2183733636421,50.1013185496517,49.985960340255296,49.8868971365841
LVA,Latvia,55.8020941976244,55.6589481993898,55.4822024186551,55.2870555153831,55.094409802382295,54.9191844012561,54.764483537882214,54.6266282346757,54.505169105053604,54.398144596020785,54.304063019258614,54.223010855727395,54.1557251502155,54.101913702499296,54.061086473229714,54.0322104722496,54.01509879717261,54.0077609342134,54.0050481946083,54.000449187825296,53.9891230872003,53.9713162362967,53.947932848119706,53.9160773042609,53.87257284109321,53.81678871947761,53.744964453611495,53.6614710222824,53.582748642507,53.529471124214105,53.5148283492587,53.545898461129,53.6172321436094,53.71347771531839,53.8097855268222,53.8861521840137,53.934316531105786,53.959085330489906,53.9682355620897,53.975638551509896,53.9916195828683,54.017725982828296,54.0499522819007,54.0871537850041,54.126636345309,54.1658829238642,54.2056882231635,54.2458291462841,54.28112386118,54.3045954129467,54.3112499814639,54.298016970810615,54.2663799832113,54.221547555318296,54.171856793712905
MAC,"Macao SAR, China",51.86753452780889,51.7920461358381,51.5707775169176,51.2546170437142,50.903945363324794,50.56014692378329,50.2275525307438,49.909794154661206,49.6320568129583,49.4170641229465,49.2730988816599,49.20651801434529,49.207572694882096,49.247562736063614,49.286769107962506,49.2967733358043,49.265803224691496,49.20752146851629,49.149955868645286,49.1358563065417,49.194268912750395,49.324897525549204,49.5088551707222,49.7301913322585,49.9728559745058,50.22348103787021,50.482171615582104,50.7427437975547,50.984366814306796,51.18590856523,51.336678388258,51.4365980664927,51.4953718776386,51.5259413932542,51.5443498058875,51.5618921896607,51.579222714945296,51.5944188665416,51.6150521716291,51.6488501532502,51.699787222712295,51.7715618779789,51.8598399740645,51.951618843093996,52.02898519121021,52.079786563679505,52.1011906747157,52.0984864772769,52.0781668289721,52.0487912467276,52.0165498872109,51.982139525354796,51.9448224425069,51.90667821482389,51.870174455022706
MAR,Morocco,50.173029494017705,50.2519892365659,50.3605073352913,50.4767722055731,50.57389755527471,50.6351999863002,50.6572004785909,50.6481682072221,50.618281254473,50.5815083073708,50.547413900596,50.5176556681171,50.48939624056,50.461908440912104,50.433553032569705,50.4034363330397,50.3720492733526,50.340739166415396,50.3104822326456,50.2823717285941,50.2570907331054,50.2355896432269,50.217693837308396,50.2017073403292,50.1854125249904,50.167694622792304,50.14778816352679,50.12726846364671,50.11004551899861,50.1011051577759,50.1035666029449,50.118240021774,50.143284088710296,50.175837591816396,50.2120409785379,50.2491855408142,50.2862187796795,50.3236806568508,50.3623936676196,50.4037218714153,50.4483144069821,50.49564317206021,50.54423322695661,50.592531333558206,50.6385598111514,50.6804648365096,50.7185620587165,50.7520285655671,50.7767393127213,50.7876693388653,50.7819687957473,50.7587337794915,50.720830191676704,50.6738920755122,50.6252593694864
MDA,Moldova,53.21490486113629,53.2034082733433,53.194103662766295,53.1884807854316,53.188242129266214,53.193899194303896,53.2064359255254,53.22371075663671,53.23944661349179,53.24551046863781,53.2366249030467,53.2114392616681,53.17248163654581,53.1230747680383,53.06799646859179,53.0107366385936,52.95163952460529,52.8904249845805,52.8292113346529,52.770608473103295,52.716527804205796,52.6684050380661,52.6260312088922,52.5877205718655,52.550854317074496,52.513635519231606,52.475475892994396,52.4372834481088,52.40035297981201,52.3665870691224,52.337129598356114,52.31238376232571,52.2915851486705,52.2732375071773,52.2552930346732,52.236348610143786,52.2152561028096,52.19243903810821,52.16990181695071,52.150714798059795,52.1369226257579,52.1303362335752,52.1296149758407,52.1297384318954,52.123778703336804,52.107062859407904,52.0774125493316,52.0373582491675,51.99274269502,51.95222535794479,51.9223363152693,51.9050539615495,51.8988630970115,51.9026863446968,51.9141820182008
MDG,Madagascar,49.1544545395893,49.2021530658522,49.248300942669,49.2927760451705,49.3354162663248,49.3761807274087,49.415044795084896,49.45223120842781,49.4881515310209,49.523283817054214,49.5579201742743,49.5921070382134,49.625703877361204,49.6585127966298,49.6903035227915,49.7209189787899,49.7503859792539,49.7787797657475,49.80605647521279,49.83221590891729,49.8573374815755,49.8815271652655,49.904925801130105,49.9276447704337,49.9497958791239,49.9714009850404,49.99229372914139,50.01246273604061,50.0322263128327,50.0519921024835,50.07193103074351,50.0920344113979,50.111926068536604,50.13100425629379,50.1485304093927,50.164013806774996,50.177415746249,50.188841151997,50.198154256403505,50.2052340665553,50.2100914390144,50.21270014530271,50.213279386645404,50.21237991275871,50.2106498165579,50.2085028895496,50.20616824627089,50.203497170594595,50.2001174498783,50.1955190028585,50.1894396896478,50.18190295645989,50.17324609800429,50.163926831824895,50.1545093477084
MDV,Maldives,45.5510431154381,45.727685292493,45.8892202004025,46.0648243060396,46.292063048404295,46.590344908150996,46.977031718103596,47.425759154510295,47.859437129780396,48.177918306081295,48.3211325549035,48.270544357373296,48.0741173037642,47.8111762725401,47.5802667231801,47.4419866015803,47.4093411674325,47.4554944865014,47.548673696378295,47.6452359983038,47.71799699270921,47.7611484795586,47.7896633129441,47.82080813353151,47.8754702948639,47.9665103323116,48.0922953083048,48.2421365218976,48.406820694651,48.5747138113995,48.7375604335533,48.8967546998946,49.051696017419786,49.1900995657415,49.29812336111301,49.368284331089896,49.3957669023522,49.389022398110704,49.3673508649904,49.356355647548,49.3722894316366,49.4199048012955,49.491120018473396,49.57490949029821,49.6550712363754,49.7202985231237,49.7691573598824,49.80523905361079,49.830543320478704,49.8474196006893,49.8585281515448,49.86356307107121,49.862680784300096,49.85830691718571,49.8540911825189
