CountryCode,CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AUT,Austria,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.92195121951221,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.01463414634149,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.81463414634149,74.3170731707317,74.7682926829268,75.21707317073171,75.2658536585366,75.56829268292691,75.6170731707317,75.8170731707317,76.0682926829268,76.41951219512201,76.6682926829268,76.87073170731709,77.319512195122,77.67073170731709,77.87560975609759,78.12682926829271,78.57560975609759,78.6780487804878,78.63170731707321,79.1804878048781,79.3317073170732,79.88048780487809,80.1804878048781,80.4317073170732,80.3317073170732,80.58048780487809,80.9829268292683,80.9365853658537,80.890243902439
AZE,Azerbaijan,60.836243902439,61.2391707317073,61.6445853658537,62.052,62.457414634146296,62.8618292682927,63.267268292682886,63.668731707317114,64.0567073170732,64.4186829268293,64.7346097560976,64.9814390243903,65.14812195121951,65.2341707317073,65.2435853658537,65.1874390243903,65.08229268292679,64.9532195121951,64.828756097561,64.7279512195122,64.6813170731707,64.7164390243903,64.8307317073171,65.0080975609756,65.2259024390244,65.4277804878049,65.54134146341471,65.5259268292683,65.36914634146339,65.0892682926829,64.7463658536585,64.4241463414634,64.207243902439,64.1540243902439,64.2815853658537,64.57582926829271,64.994,65.46239024390239,65.92336585365851,66.3554878048781,66.758243902439,67.1502926829268,67.5610731707317,68.0036829268293,68.47019512195119,68.9372682926829,69.37473170731711,69.756,70.06292682926829,70.29265853658539,70.4502926829268,70.5512926829268,70.62495121951221,70.6931463414634
BDI,Burundi,41.23604878048779,41.545463414634106,41.860390243902394,42.177804878048796,42.4922195121951,42.7901463414634,43.05507317073171,43.2800243902439,43.467975609756095,43.6274390243902,43.78192682926829,43.95992682926829,44.184951219512214,44.4714634146341,44.8184634146341,45.2189024390244,45.653731707317114,46.09292682926829,46.5134878048781,46.90295121951222,47.26282926829271,47.6046829268293,47.9385853658537,48.2615853658537,48.56024390243901,48.7855853658537,48.881170731707286,48.8244634146341,48.62641463414639,48.3234878048781,48.00012195121951,47.7652195121951,47.7017317073171,47.8585853658537,48.239268292682894,48.8007804878049,49.46260975609761,50.119853658536606,50.692048780487795,51.14924390243901,51.485487804878105,51.7248292682927,51.928268292682894,52.1453170731707,52.396390243902395,52.696951219512215,53.0538780487805,53.456073170731706,53.8910243902439,54.3512195121951,54.8291951219512,55.312024390243906,55.7892926829268,56.2516097560976
BEL,Belgium,69.70195121951221,70.52097560975609,70.21951219512201,70.0514634146342,70.75512195121951,70.6253658536586,70.70634146341459,71.0129268292683,70.6931707317073,70.7648780487805,70.9719512195122,71.0604878048781,71.4051219512195,71.63536585365858,71.9858536585366,71.97121951219509,72.119756097561,72.77390243902441,72.6980487804878,73.1936585365854,73.2070731707317,73.6217073170732,73.8880487804878,73.86902439024391,74.4048780487805,74.520243902439,74.7317073170732,75.3658536585366,75.5658536585366,75.6326829268293,76.0519512195122,76.1921951219512,76.35121951219509,76.3453658536585,76.6917073170732,76.84073170731709,77.1873170731707,77.37073170731709,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.07560975609759,78.12926829268291,78.87804878048779,78.9804878048781,79.380487804878,79.78292682926829,79.6804878048781,79.9829268292683,80.2341463414634,80.5853658536585,80.3853658536585,80.3853658536585
BEN,Benin,37.2782682926829,37.7311951219512,38.189414634146296,38.6573414634146,39.1368536585366,39.6327317073171,40.148243902439,40.68082926829271,41.2281219512195,41.785756097561,42.35,42.9167317073171,43.4798048780488,44.0334878048781,44.5724878048781,45.0869024390244,45.5651463414634,46.010048780487786,46.427926829268294,46.8292682926829,47.234585365853704,47.668926829268294,48.15034146341461,48.6883170731707,49.2827804878049,49.934682926829296,50.6384634146342,51.3690243902439,52.09673170731711,52.793463414634104,53.42,53.9357073170732,54.3270243902439,54.5949756097561,54.75007317073171,54.815951219512215,54.8318048780488,54.8423170731707,54.89014634146339,54.9987804878049,55.18824390243901,55.4664878048781,55.8143170731707,56.20807317073171,56.633170731707295,57.065975609756094,57.4833902439024,57.8673902439024,58.20451219512201,58.491268292682896,58.7297073170732,58.9329024390244,59.1219756097561,59.312024390243906
BFA,Burkina Faso,34.4779024390244,34.9386341463415,35.4058780487805,35.879658536585396,36.35895121951221,36.837756097561005,37.30904878048779,37.76831707317071,38.216536585365894,38.6577317073171,39.096878048780496,39.538512195121996,39.9951707317073,40.480341463414604,41.0065853658537,41.606390243902396,42.3132926829268,43.13024390243901,44.0397804878049,45.0133902439024,45.9975609756098,46.9283170731707,47.74963414634149,48.422,48.92436585365851,49.2512195121951,49.417536585365895,49.4722682926829,49.462902439024404,49.4198780487805,49.36560975609761,49.316463414634114,49.27795121951222,49.2596585365854,49.2777073170732,49.3383658536585,49.443512195122004,49.5883414634146,49.77692682926829,50.0207073170732,50.34592682926829,50.7832195121951,51.3401951219512,52.008073170731706,52.7677804878049,53.5813170731707,54.4039024390244,55.1888048780488,55.9022926829268,56.5249756097561,57.0513902439024,57.492048780487785,57.879317073170704,58.2406341463415
BGD,Bangladesh,45.8293170731707,46.457926829268295,47.083975609756095,47.6924634146342,48.2554390243903,48.689536585365886,48.8954146341463,48.83814634146339,48.5367073170732,48.051536585365895,47.5254146341463,47.1385853658537,47.0343170731707,47.295512195122,47.93012195121951,48.8708048780488,49.9877317073171,51.1056829268293,52.0898292682927,52.8872926829268,53.48804878048779,53.928024390243905,54.30307317073171,54.6895609756098,55.1144390243903,55.59065853658539,56.115195121951196,56.6685853658537,57.2348780487805,57.815658536585396,58.417560975609796,59.050268292682894,59.717853658536605,60.4188048780488,61.145536585365896,61.887390243902395,62.6295609756098,63.3578780487805,64.05914634146339,64.7238292682927,65.34797560975609,65.93017073170729,66.4781707317073,67.00014634146339,67.4971951219512,67.9718536585366,68.4256341463415,68.85997560975609,69.2778536585366,69.6837804878049,70.0802926829268,70.4719512195122,70.8602682926829,71.245243902439
BGR,Bulgaria,69.2475609756098,70.1956097560976,69.4919512195122,70.3092682926829,71.1212195121951,71.29390243902441,71.22341463414641,70.41390243902441,71.2251219512195,70.43,71.25634146341459,70.87365853658541,70.899512195122,71.34219512195119,71.2080487804878,71.049756097561,71.3948780487805,70.81609756097559,71.1846341463415,71.3082926829268,71.1575609756098,71.5719512195122,71.1860975609756,71.3863414634146,71.49975609756099,71.2280487804878,71.73073170731709,71.5268292682927,71.6043902439024,71.7224390243903,71.6414634146342,71.5609756097561,71.4943902439024,71.34682926829271,71.20878048780492,71.05341463414629,70.8973170731707,70.3512195121951,71.0609756097561,71.4121951219512,71.66341463414629,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.66341463414629,72.9634146341463,73.4121951219512,73.5121951219512,74.16341463414629,74.31463414634149,74.4658536585366
BHR,Bahrain,52.08936585365851,53.4585121951219,54.818268292682895,56.1465853658537,57.4258780487805,58.640073170731704,59.7831219512195,60.858000000000004,61.869731707317115,62.8172926829268,63.6991951219512,64.5174878048781,65.27770731707321,65.9864146341464,66.6466097560976,67.26382926829271,67.8395609756098,68.3777804878049,68.8789756097561,69.3456097560976,69.7786585365854,70.1765853658537,70.53736585365859,70.86399999999999,71.16,71.4278780487805,71.6716829268293,71.8959512195122,72.1057073170732,72.3079756097561,72.507243902439,72.709512195122,72.91473170731709,73.1239024390244,73.337512195122,73.5550731707317,73.7750975609756,73.99160975609759,74.20309756097559,74.4060731707317,74.5994878048781,74.7818292682927,74.9540731707317,75.1177073170732,75.2732195121951,75.4221463414634,75.5664634146342,75.707756097561,75.84751219512201,75.98778048780491,76.1275609756098,76.2678536585366,76.4076341463415,76.5459512195122
BHS,"Bahamas, The",62.72904878048779,63.072512195122,63.4080243902439,63.7370487804878,64.0590975609756,64.3746829268293,64.6837804878049,64.9873902439025,65.2850243902439,65.5766829268293,65.86385365853661,66.1455609756098,66.4222682926829,66.693,66.958756097561,67.2200243902439,67.4763170731707,67.7281219512195,67.9749512195122,68.21878048780489,68.4586097560976,68.6954146341463,68.9296829268293,69.1604634146342,69.387243902439,69.6106097560976,69.8290975609756,70.0427804878049,70.2496585365854,70.4477804878049,70.6306585365854,70.79180487804881,70.9296341463415,71.04814634146341,71.15480487804881,71.2625609756098,71.3904390243902,71.5498780487805,71.74787804878049,71.9843658536585,72.2542926829268,72.54509756097559,72.84126829268291,73.1272926829268,73.39465853658541,73.6388780487805,73.8584634146342,74.0594634146342,74.2474390243902,74.42390243902442,74.5923902439024,74.7544146341464,74.9144634146342,75.0735365853659
