countrycode,countryname,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
SDN,Sudan,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
SUR,Suriname,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SWZ,Swaziland,PF,PF,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
SWE,Sweden,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
CHE,Switzerland,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
SYR,Syrian Arab Republic,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
TJK,Tajikistan,,PF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
TZA,Tanzania,NF,NF,PF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF
THA,Thailand,F,PF,PF,PF,PF,PF,PF,PF,F,F,F,F,F,F,F,PF,NF,PF,PF,PF,PF,PF,PF,PF,NF,NF
TGO,Togo,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,PF,NF,NF,NF,NF,NF,PF,PF,PF,PF,PF,PF,PF,PF,PF
TON,Tonga,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,F,F,F,F
TTO,Trinidad and Tobago,F,F,F,F,F,F,F,F,F,F,F,PF,PF,PF,PF,F,F,F,F,F,F,F,F,F,F,F
