ISO-3166,Country,Date of Admission to UN
PAN,Panama,13-11-1945
PNG,Papua New Guinea,10-10-1975
PRY,Paraguay,24-10-1945
PER,Peru,31-10-1945
PHL,Philippines,24-10-1945
POL,Poland,24-10-1945
PRT,Portugal,14-12-1955
QAT,Qatar,21-09-1971
KOR,Republic of Korea,17-09-1991
MDA,Republic of Moldova,03-02-1992
ROU,Romania,14-12-1955
RUS,Russian Federation,24-10-1945
RWA,Rwanda,18-09-1962
KNA,Saint Kitts and Nevis,23-09-1983
LCA,Saint Lucia,18-09-1979
VCT,Saint Vincent and the Grenadines,16-09-1980
WSM,Samoa,15-12-1976
SMR,San Marino,03-02-1992
STP,Sao Tome and Principe,16-09-1975
SAU,Saudi Arabia,24-10-1945
SEN,Senegal,28-09-1960
SRB,Serbia,11-01-2000
SYC,Seychelles,21-09-1976
SLE,Sierra Leone,27-09-1961
SGP,Singapore,21-09-1965
SVK,Slovakia,19-01-1993
SVN,Slovenia,22-05-1992
SLB,Solomon Islands,19-09-1978
SOM,Somalia,20-09-1960
ZAF,South Africa,11-07-1945
SSD,South _Sudan,14-07-2011
ESP,Spain,14-12-1955
LKA,Sri Lanka,14-12-1955
SDN,Sudan,11-12-1956
SUR,Suriname,12-04-1975
SWZ,Swaziland,24-09-1968
SWE,Sweden,19-11-1946
CHE,Switzerland,09-10-2002
SYR,Syrian Arab Republic,24-10-1945
TJK,Tajikistan,03-02-1992
THA,Thailand,16-12-1946
MKD,The former Yugoslav Republic of Macedonia,04-08-1993
TLS,Timor-Leste,27-09-2002
TGO,Togo,20-09-1960
TON,Tonga,14-09-1999
TTO,Trinidad and Tobago,18-09-1962
TUN,Tunisia,11-12-1956
TUR,Turkey,24-10-1945
TKM,Turkmenistan,03-02-1992
TUV,Tuvalu,09-05-2000
UGA,Uganda,25-10-1962
UKR,Ukraine,24-10-1945
ARE,United Arab Emirates,12-09-1971
GBR,United Kingdom of Great Britain and Northern Ireland,24-10-1945
TZA,United Republic of Tanzania,14-12-1961
USA,United States of America,24-10-1945
URY,Uruguay,18-12-1945
UZB,Uzbekistan,03-02-1992
VUT,Vanuatu,15-09-1981
VEN,Venezuela (Bolivarian Republic of),15-11-1945
VNM,Viet Nam,20-09-1977
YEM,Yemen,30-09-1947
ZMB,Zambia,12-01-1964
ZWE,Zimbabwe,25-08-1980
