,Country,Date of Admission to UN
101,Malawi,1964-01-12
102,Malaysia,17-09-1957
103,Maldives,21-09-1965
104,Mali,28-09-1960
105,Malta,1964-01-12
106,Marshall Islands,17-09-1991
107,Mauritania,27-10-1961
108,Mauritius,24-04-1968
109,Mexico,1945-07-11
110,Micronesia (Federated States of),17-09-1991
111,Monaco,28-05-1993
112,Mongolia,27-10-1961
113,Montenegro,28-06-2006
114,Morocco,1956-12-11
115,Mozambique,16-09-1975
116,Myanmar,19-04-1948
117,Namibia,23-04-1990
118,Nauru,14-09-1999
119,Nepal,14-12-1955
120,Netherlands,1945-10-12
121,New Zealand,24-10-1945
122,Nicaragua,24-10-1945
123,Niger,20-09-1960
124,Nigeria,1960-07-10
125,Norway,27-11-1945
126,Oman,1971-07-10
127,Pakistan,30-09-1947
128,Palau,15-12-1994
129,Panama,13-11-1945
130,Papua New Guinea,1975-10-10
131,Paraguay,24-10-1945
132,Peru,31-10-1945
133,Philippines,24-10-1945
134,Poland,24-10-1945
135,Portugal,14-12-1955
136,Qatar,21-09-1971
137,Republic of Korea,17-09-1991
138,Republic of Moldova,1992-02-03
139,Romania,14-12-1955
140,Russian Federation,24-10-1945
141,Rwanda,18-09-1962
142,Saint Kitts and Nevis,23-09-1983
143,Saint Lucia,18-09-1979
144,Saint Vincent and the Grenadines,16-09-1980
145,Samoa,15-12-1976
146,San Marino,1992-02-03
147,Sao Tome and Principe,16-09-1975
148,Saudi Arabia,24-10-1945
149,Senegal,28-09-1960
150,Serbia,2000-01-11
151,Seychelles,21-09-1976
152,Sierra Leone,27-09-1961
153,Singapore,21-09-1965
154,Slovakia,19-01-1993
155,Slovenia,22-05-1992
156,Solomon Islands,19-09-1978
157,Somalia,20-09-1960
158,South Africa,1945-07-11
159,South _Sudan,14-07-2011
160,Spain,14-12-1955
161,Sri Lanka,14-12-1955
162,Sudan,1956-12-11
163,Suriname,1975-04-12
164,Swaziland,24-09-1968
165,Sweden,19-11-1946
166,Switzerland,2002-10-09
167,Syrian Arab Republic,24-10-1945
168,Tajikistan,1992-02-03
169,Thailand,16-12-1946
170,The former Yugoslav Republic of Macedonia,1993-08-04
171,Timor-Leste,27-09-2002
172,Togo,20-09-1960
173,Tonga,14-09-1999
174,Trinidad and Tobago,18-09-1962
175,Tunisia,1956-12-11
176,Turkey,24-10-1945
177,Turkmenistan,1992-02-03
178,Tuvalu,2000-05-09
179,Uganda,25-10-1962
180,Ukraine,24-10-1945
181,United Arab Emirates,1971-09-12
182,United Kingdom of Great Britain and Northern Ireland,24-10-1945
183,United Republic of Tanzania,14-12-1961
184,United States of America,24-10-1945
185,Uruguay,18-12-1945
186,Uzbekistan,1992-02-03
187,Vanuatu,15-09-1981
188,Venezuela (Bolivarian Republic of),15-11-1945
189,Viet Nam,20-09-1977
190,Yemen,30-09-1947
191,Zambia,1964-01-12
192,Zimbabwe,25-08-1980
