name,iso,series,series_code,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014
South Africa,ZAF,arable_land,AG.LND.ARBL.ZS,10.5515666603467,10.6340007748807,10.850802496105,11.0676042173293,11.0873884048175,11.1286054620844,11.2522566338854,11.2934736911523,11.2934736911523,11.3429341598727,11.3857998994304,11.2811085739723,11.2934736911523,11.2110395766184,10.9637372330165,10.8606945898491,10.3866984312788,10.3866984312788,10.5515666603467,10.4361588999992,10.331467574541,9.91929700187126,10.3042643167448,10.3042643167448,NULL
South Asia,SAS,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Asia,SAS,freshwater,ER.H2O.INTR.PC,NULL,NULL,1690.25780172706,NULL,NULL,NULL,NULL,1515.3809702858,NULL,NULL,NULL,NULL,1381.95324192762,NULL,NULL,NULL,NULL,1271.42436209858,NULL,NULL,NULL,NULL,1183.47362367955,1167.39244153283,NULL
South Asia,SAS,precipitation,AG.LND.PRCP.MM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Asia,SAS,arable_land,AG.LND.ARBL.ZS,44.7575051262251,44.6986327765008,44.4608211207379,44.4566996378325,44.4688670014729,44.3754858147336,44.1995554074977,44.4390948079893,44.4450241047914,44.3304818234578,44.2844093973511,44.2041707344666,44.197885721708,44.0721854665365,43.8662102696865,43.7758837382274,43.6166701281358,43.4219755858493,43.2930245074113,43.2429362451869,43.0607113748767,43.1963688315205,43.1132306992007,43.2668486749768,NULL
South Sudan,SSD,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Sudan,SSD,freshwater,ER.H2O.INTR.PC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2367.80736393554,2269.9870174204,NULL
South Sudan,SSD,precipitation,AG.LND.PRCP.MM,NULL,NULL,495.0,NULL,NULL,NULL,NULL,495.0,NULL,NULL,NULL,NULL,495.0,NULL,NULL,NULL,NULL,495.0,NULL,NULL,NULL,NULL,900.0,NULL,900.0
South Sudan,SSD,arable_land,AG.LND.ARBL.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sri Lanka,LKA,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.16003002858256,NULL,NULL,NULL,NULL,NULL
Sri Lanka,LKA,freshwater,ER.H2O.INTR.PC,NULL,NULL,3029.9552392976,NULL,NULL,NULL,NULL,2843.6018957346,NULL,NULL,NULL,NULL,2790.55018233709,NULL,NULL,NULL,NULL,2634.86201906283,NULL,NULL,NULL,NULL,2597.4025974026,2577.74740028316,NULL
Sri Lanka,LKA,precipitation,AG.LND.PRCP.MM,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,1712.0
Sri Lanka,LKA,arable_land,AG.LND.ARBL.ZS,14.3517780258332,14.3996172859193,14.4315101259767,14.0328496252591,14.0806888853452,14.1285281454314,14.1444745654601,14.1604209854888,14.1763674055175,14.4315101259767,14.5909743262638,14.6069207462925,14.9258491468665,15.1490990272684,14.3517780258332,17.5410620315739,16.7437410301387,15.9464200287036,19.1357040344443,17.5410620315739,19.1357040344443,20.7303460373146,19.9330250358794,20.7303460373146,NULL
St. Kitts and Nevis,KNA,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Kitts and Nevis,KNA,freshwater,ER.H2O.INTR.PC,NULL,NULL,580.270793036751,NULL,NULL,NULL,NULL,546.883901105161,NULL,NULL,NULL,NULL,511.345477788431,NULL,NULL,NULL,NULL,475.577132666204,NULL,NULL,NULL,NULL,447.343895619758,441.98081066647,NULL
St. Kitts and Nevis,KNA,precipitation,AG.LND.PRCP.MM,NULL,NULL,1427.0,NULL,NULL,NULL,NULL,1427.0,NULL,NULL,NULL,NULL,1427.0,NULL,NULL,NULL,NULL,1427.0,NULL,NULL,NULL,NULL,1427.0,NULL,1427.0
St. Kitts and Nevis,KNA,arable_land,AG.LND.ARBL.ZS,30.7692307692308,30.7692307692308,30.7692307692308,30.7692307692308,26.9230769230769,26.9230769230769,23.0769230769231,23.0769230769231,23.0769230769231,26.9230769230769,26.9230769230769,26.9230769230769,26.9230769230769,26.9230769230769,26.9230769230769,15.2692307692308,15.3076923076923,15.3461538461538,15.3846153846154,15.3846153846154,17.3076923076923,19.2307692307692,19.2307692307692,19.2307692307692,NULL
St. Lucia,LCA,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Lucia,LCA,freshwater,ER.H2O.INTR.PC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Lucia,LCA,precipitation,AG.LND.PRCP.MM,NULL,NULL,2301.0,NULL,NULL,NULL,NULL,2301.0,NULL,NULL,NULL,NULL,2301.0,NULL,NULL,NULL,NULL,2301.0,NULL,NULL,NULL,NULL,2301.0,NULL,2301.0
St. Lucia,LCA,arable_land,AG.LND.ARBL.ZS,4.75409836065574,4.59016393442623,4.42622950819672,4.42622950819672,4.0983606557377,3.27868852459016,3.11475409836066,3.11475409836066,3.27868852459016,3.27868852459016,3.27868852459016,3.27868852459016,3.27868852459016,3.27868852459016,3.27868852459016,3.60655737704918,3.77049180327869,3.9344262295082,4.0983606557377,4.91803278688525,4.91803278688525,4.91803278688525,4.91803278688525,4.91803278688525,NULL
St. Martin (French part),MAF,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Martin (French part),MAF,freshwater,ER.H2O.INTR.PC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Martin (French part),MAF,precipitation,AG.LND.PRCP.MM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Martin (French part),MAF,arable_land,AG.LND.ARBL.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Vincent and the Grenadines,VCT,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00923653993672047,NULL,NULL,NULL,NULL,NULL
St. Vincent and the Grenadines,VCT,freshwater,ER.H2O.INTR.PC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St. Vincent and the Grenadines,VCT,precipitation,AG.LND.PRCP.MM,NULL,NULL,1583.0,NULL,NULL,NULL,NULL,1583.0,NULL,NULL,NULL,NULL,1583.0,NULL,NULL,NULL,NULL,1583.0,NULL,NULL,NULL,NULL,1583.0,NULL,1583.0
St. Vincent and the Grenadines,VCT,arable_land,AG.LND.ARBL.ZS,10.2564102564103,10.2564102564103,10.2564102564103,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,NULL
Sub-Saharan Africa (all income levels),SSF,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sub-Saharan Africa (all income levels),SSF,freshwater,ER.H2O.INTR.PC,NULL,NULL,8186.33242886549,NULL,NULL,NULL,NULL,6597.46072948357,NULL,NULL,NULL,NULL,5775.88702949663,NULL,NULL,NULL,NULL,5054.30046217572,NULL,NULL,NULL,NULL,4207.91119062591,4094.97292817399,NULL
Sub-Saharan Africa (all income levels),SSF,precipitation,AG.LND.PRCP.MM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sub-Saharan Africa (all income levels),SSF,arable_land,AG.LND.ARBL.ZS,6.64827880437767,6.78110465292292,6.85350892484271,6.99463374256708,7.07292350793532,7.27019339265713,7.38273757672895,7.4253756479706,7.45577697384101,7.56497616523349,7.55722763788769,7.53516423554151,7.6624924404224,7.93583296309063,8.00116363403561,8.19599082726792,8.23684673722004,8.34787805308385,8.52953529032906,8.45801468926013,8.59199899263704,8.69539988304012,9.04065719053435,8.82957433616463,NULL
Sub-Saharan Africa (developing only),SSA,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sub-Saharan Africa (developing only),SSA,freshwater,ER.H2O.INTR.PC,NULL,NULL,8136.47144279934,NULL,NULL,NULL,NULL,6558.33732355176,NULL,NULL,NULL,NULL,5741.80420837676,NULL,NULL,NULL,NULL,5024.58835678546,NULL,NULL,NULL,NULL,4183.24226421244,4070.97466481149,NULL
Sub-Saharan Africa (developing only),SSA,precipitation,AG.LND.PRCP.MM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sub-Saharan Africa (developing only),SSA,arable_land,AG.LND.ARBL.ZS,6.65076058504004,6.78374696959979,6.8562387507911,6.99753413483242,7.07591852279894,7.2734268319044,7.38610703915968,7.42879664363901,7.45923471316846,7.56856588491841,7.5608079925453,7.53871792392356,7.66620002025531,7.93987090782305,8.00528053874196,8.20034320407144,8.24124849330496,8.35241400386903,8.5342907957355,8.46310768196253,8.59725800248084,8.70081856405506,9.04649313946348,8.83515330385088,NULL
Sudan,SDN,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.76541558191951,NULL,NULL,NULL,NULL,NULL
Sudan,SDN,freshwater,ER.H2O.INTR.PC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.1472586956621,80.0497829600228,NULL
Sudan,SDN,precipitation,AG.LND.PRCP.MM,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,1712.0,NULL,NULL,NULL,NULL,250.0,NULL,250.0
Sudan,SDN,arable_land,AG.LND.ARBL.ZS,5.38720538720539,5.40824915824916,5.42929292929293,6.1523569023569,6.31313131313131,6.80008417508418,7.01683501683502,6.98653198653199,6.94444444444444,6.89393939393939,6.83207070707071,6.89225589225589,6.95244107744108,7.5976430976431,7.58375420875421,7.89141414141414,7.89141414141414,8.10058922558923,8.13173400673401,7.91077441077441,7.93686868686869,7.17845117845118,8.85732323232323,7.24747474747475,NULL
Suriname,SUR,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.339835427358562,NULL,NULL,NULL,NULL,NULL
Suriname,SUR,freshwater,ER.H2O.INTR.PC,NULL,NULL,233726.497502196,NULL,NULL,NULL,NULL,214485.808189025,NULL,NULL,NULL,NULL,203590.179138793,NULL,NULL,NULL,NULL,197623.329933147,NULL,NULL,NULL,NULL,187310.206514233,185584.403411754,NULL
Suriname,SUR,precipitation,AG.LND.PRCP.MM,NULL,NULL,2331.0,NULL,NULL,NULL,NULL,2331.0,NULL,NULL,NULL,NULL,2331.0,NULL,NULL,NULL,NULL,2331.0,NULL,NULL,NULL,NULL,2331.0,NULL,2331.0
