Country Name,Country Code,YR2000,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
Lao PDR,LAO,71.60307626,73.91195841,74.73158579,75.55121317,76.37084055,77.19046794,78.01009532,78.8297227,79.64935009
Latvia,LVA,52.10946042,53.19313139,53.37642292,53.55971445,53.756835,53.88817481,53.92926045,53.95303956,53.95079595
Lebanon,LBN,12.8054741,13.35092864,13.35874878,13.36656891,13.37438905,13.38220919,13.39002933,13.39784946,13.4056696
Lesotho,LSO,1.383399209,1.422924901,1.429512516,1.436100132,1.442687747,1.449275362,1.482213439,1.515151515,1.548089592
Liberia,LBR,48.05855482,46.18978405,45.87832226,45.56686047,45.25539867,44.94393688,44.63247508,44.32101329,44.0095515
Libya,LBY,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688,0.123327688
Liechtenstein,LIE,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125
Lithuania,LTU,32.22718571,33.9948947,34.15124442,34.31033107,34.46669326,34.62305544,34.65551904,34.68743019,34.7187874
Luxembourg,LUX,33.47490347,33.47490347,33.47490347,33.47490347,33.47490347,33.47490347,33.47490347,33.47490347,33.47490347
"Macedonia, FYR",MKD,37.6720409,38.52143138,39.00911613,39.19143876,39.38937351,39.57176844,39.57176844,39.57176844,39.57176844
Madagascar,MDG,22.39398838,21.97785191,21.8798363,21.78182068,21.68380507,21.58578946,21.54882734,21.52132624,21.49364043
Malawi,MWI,37.83411116,35.73398388,35.38396266,35.03394145,34.68392024,34.33389902,34.14297836,33.9520577,33.76113704
Malaysia,MYS,65.71602496,64.33358697,65.0847664,65.83594582,66.58712525,67.33830467,67.38152488,67.42474509,67.4679653
Maldives,MDV,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333
Mali,MLI,4.835312533,4.446848442,4.382104426,4.317360411,4.252616396,4.187872381,4.123128365,4.05838435,3.993640335
Malta,MLT,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375,1.09375
Marshall Islands,MHL,70.22222222,70.22222222,70.22222222,70.22222222,70.22222222,70.22222222,70.22222222,70.22222222,70.22222222
Mauritania,MRT,0.30755797,0.254196177,0.249345105,0.244494033,0.239642961,0.234791889,0.231396139,0.228000388,0.224604638
Mauritius,MUS,20.64039409,18.83743842,18.85714286,18.87684729,18.89655172,18.91625616,18.93596059,18.95566502,18.97536946
Mexico,MEX,34.90624759,34.44841688,34.38823015,34.32804342,34.26785668,34.20766995,34.1605494,34.11342884,34.06630829
"Micronesia, Fed. Sts.",FSM,91.22857143,91.45714286,91.5,91.52857143,91.57142857,91.61428571,91.65714286,91.68571429,91.72857143
Moldova,MDA,9.854014599,11.17664944,11.31650958,11.45636972,11.59622986,11.75038052,11.89041096,12.02678028,12.1593674
Mongolia,MNG,7.542032493,7.501634955,7.72450372,7.947372486,8.170241252,8.393110018,8.330492546,8.267875074,8.205257602
Montenegro,MNE,40.37174721,49.53159851,52.5204461,55.50929368,58.49814126,61.48698885,61.48698885,61.48698885,61.48698885
Morocco,MAR,11.18754201,12.22316827,12.34461125,12.46605422,12.5874972,12.70894017,12.69101501,12.67308985,12.65516469
Mozambique,MOZ,52.37671355,50.6849106,50.40336733,50.12182405,49.84028078,49.55873751,49.29626898,49.03380045,48.77133193
Myanmar,MMR,53.35251094,50.51708571,50.03947852,49.58166873,49.10852595,48.63760218,47.79898667,46.9726709,46.14105469
Namibia,NAM,9.75597906,9.215221854,9.125095653,9.034969452,8.944843251,8.85471705,8.764590849,8.674464648,8.584338447
Nepal,NPL,27.20613882,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925,25.3644925
Netherlands,NLD,10.66350711,10.85900474,10.9063981,10.95379147,11.01096946,11.05840498,11.07947805,11.09727165,11.13157113
New Caledonia,NCL,45.89715536,45.89715536,45.89715536,45.89715536,45.89715536,45.89715536,45.89715536,45.89715536,45.89715536
New Zealand,NZL,38.50594356,38.64874103,38.62443508,38.60012913,38.57582317,38.55151722,38.55227678,38.55303634,38.55379591
Nicaragua,NIC,31.69353498,28.20342363,27.62173841,27.04005318,26.45836796,25.87668273,25.87668273,25.87668273,25.87668273
Niger,NER,1.048393463,0.989658167,0.979868951,0.970079735,0.960290519,0.950501303,0.940712087,0.93092287,0.921133654
Nigeria,NGA,14.42405876,11.72568266,11.27595331,10.82622396,10.37649461,9.926765265,9.477035915,9.027306565,8.577577215
Northern Mariana Islands,MNP,69.47826087,67.34782609,66.97826087,66.63043478,66.26086957,65.91304348,65.54347826,65.19565217,64.84782609
Norway,NOR,33.16404058,33.1120207,33.11749647,33.12297225,33.12844803,33.1339238,33.13939958,33.14487536,33.15035113
Oman,OMN,0.006462036,0.006462036,0.006462036,0.006462036,0.006462036,0.006462036,0.006462036,0.006462036,0.006462036
Pakistan,PAK,2.744914902,2.41152968,2.355749274,2.299968867,2.24418846,2.188408053,2.132627646,2.07684724,2.021066833
Palau,PLW,86.06521739,87.60869565,87.60869565,87.60869565,87.60869565,87.60869565,87.60869565,87.60869565,87.60869565
Panama,PAN,65.46946462,64.10277105,63.87947269,63.65617433,63.43287598,63.20957762,62.9889696,62.76836158,62.54775356
Papua New Guinea,PNG,74.19511549,74.15845957,74.15271828,74.14697699,74.1412357,74.13549441,74.12931149,74.12312856,74.11694563
Paraguay,PRY,48.74905613,45.73370249,44.96602064,44.19833879,43.43065693,42.66297508,41.84394664,41.0249182,40.20588976
Peru,PER,59.48984375,58.89421875,58.7821875,58.67015625,58.558125,58.44609375,58.31515625,58.18421875,58.05328125
Philippines,PHL,23.5670926,23.56776336,23.41080592,23.25384848,23.09689104,22.93993359,23.74484355,24.5497535,25.35466345
Poland,POL,29.5765451,30.11817707,30.20240272,30.28860594,30.37482043,30.45905707,30.53325931,30.60348769,30.67372065
Portugal,PRT,36.53551913,35.90904122,35.78441019,35.65977916,35.48859046,35.36412272,35.23965498,35.11518725,34.98689956
Puerto Rico,PRI,50.74295378,52.55693348,52.93010147,53.30214205,53.67531003,54.04847802,54.421646,54.79481398,55.16685457
Qatar,QAT,0,0,0,0,0,0,0,0,0
Romania,ROM,27.7132036,27.89720845,28.01600766,28.12266203,28.2109015,28.31993045,28.60581309,28.92531084,29.22488371
Russian Federation,RUS,49.40184991,49.46098302,49.53847356,49.61859989,49.69609455,49.77358921,49.77108446,49.76857971,49.76607496
